,Survived,Pclass,SibSp,Parch,Sex_cat,Embarked_cat,Title_cat,Is_Alone,Fare_min_max,Age_norm
0,0,3,1,0,1,2,2,0,0.014151035465422675,-0.5178381285988378
1,1,1,1,0,0,0,3,0,0.13912907696211424,0.6157989662226336
2,1,3,0,0,0,2,1,1,0.015478304998731283,-0.23442885489346996
3,1,1,1,0,0,2,3,0,0.10364413561571642,0.40324201094360773
4,0,3,0,0,1,2,2,1,0.01571252903402104,0.40324201094360773
5,0,3,0,0,1,1,2,1,0.016512794487927702,-0.6771640119511485
6,0,1,0,0,1,2,2,1,0.10122382058438896,1.749436061044105
7,0,3,3,1,1,2,0,0,0.041145355532566895,-1.9348844971256771
8,1,3,0,2,0,2,3,0,0.021724279273124744,-0.16357653646712797
9,1,2,1,0,0,0,3,0,0.05869263950969101,-1.0846566760095735
10,1,3,1,1,0,2,1,0,0.03259617824449085,-1.7931798602729931
11,1,1,0,0,0,2,1,1,0.05182206780785821,2.032845334749473
12,0,3,0,0,1,2,2,1,0.01571252903402104,-0.6595427654515218
13,0,3,1,5,1,2,2,0,0.06105439853219604,0.6866512846489756
14,0,3,0,0,0,2,1,1,0.015322155641871447,-1.0846566760095735
15,1,2,0,0,0,2,3,1,0.031229871371967283,1.820288379470447
16,0,3,4,1,1,1,0,0,0.056857884566587934,-1.9348844971256771
17,1,2,0,0,1,2,2,1,0.02537427048972342,-0.021871899614444048
18,0,3,1,0,0,2,3,0,0.035133605293463196,0.11983273723823988
19,1,3,0,0,0,0,3,1,0.014111998126207717,0.46047936486570007
20,0,2,0,0,1,2,2,1,0.05074854097944684,0.40324201094360773
21,1,2,0,0,1,2,2,1,0.02537427048972342,0.3323896925172658
22,1,3,0,0,0,1,1,1,0.01567349169480608,-1.0138043575832316
23,1,1,0,0,1,2,2,1,0.0692912771065524,-0.09272421804078601
24,0,3,3,1,0,2,1,0,0.041145355532566895,-1.5097705865676254
25,1,3,1,5,0,2,3,0,0.06126910389787831,0.6157989662226336
26,0,3,0,0,1,0,2,1,0.014111998126207717,-1.6333338837059659
27,0,1,3,2,1,2,2,0,0.5133410106767122,-0.7303950838778637
28,1,3,0,0,0,1,1,1,0.015380711650693886,-0.1935522011204638
29,0,3,0,0,1,2,2,1,0.015419748989908846,-0.45471327860436656
30,0,1,0,0,1,0,4,1,0.05410575215193331,0.7575036030753176
31,1,1,1,0,0,0,3,0,0.28598754708879043,0.5449466477962916
32,1,3,0,0,0,1,1,1,0.015126968945796652,-2.076589133978361
33,0,2,0,0,1,2,2,1,0.02049460308785353,2.599663882160209
34,0,1,1,0,1,0,2,0,0.16038490816465947,-0.09272421804078601
35,0,1,1,0,1,2,2,0,0.10149708195889368,0.8992082399280015
36,1,3,0,0,1,0,2,1,0.014111998126207717,-0.47394629135663535
37,0,3,0,0,1,2,2,1,0.01571252903402104,-0.5886904470251798
38,0,3,2,0,0,2,1,0,0.035133605293463196,-0.8012474023042057
39,1,3,1,0,0,0,1,0,0.021938984638807016,-1.0846566760095735
40,0,3,1,0,0,2,3,0,0.018503698787890616,0.7575036030753176
41,0,2,1,0,0,2,3,0,0.04098920617570706,-0.16357653646712797
42,0,3,0,0,1,0,2,1,0.015419748989908846,0.19656428114583097
43,1,2,1,2,0,0,1,0,0.08115862822789997,-1.8640321786993352
44,1,3,0,0,0,1,1,1,0.015380711650693886,-0.7303950838778637
45,0,3,0,0,1,2,2,1,0.01571252903402104,-1.3244629128993533
46,0,3,1,0,1,1,2,0,0.030253937891593304,1.3450859778830695
47,1,3,0,0,0,1,1,1,0.015126968945796652,-0.9480376244381798
48,0,3,2,0,1,0,2,0,0.042316475709015665,-0.4507529167050845
49,0,3,1,0,0,2,3,0,0.034743231901313607,-0.8012474023042057
50,0,3,4,1,1,2,0,0,0.07746959967208633,-1.5806229049939673
51,0,3,0,0,1,2,2,1,0.01522456229383405,-0.5886904470251798
52,1,1,1,0,0,0,3,0,0.1497667518981906,1.3951744689123953
53,1,2,1,0,0,2,3,0,0.05074854097944684,-0.021871899614444048
54,0,1,0,1,1,0,2,0,0.12097671422715825,2.528811563733867
55,1,1,0,0,1,2,2,1,0.0692912771065524,0.5449466477962916
56,1,2,0,0,0,2,1,1,0.02049460308785353,-0.5886904470251798
57,0,3,0,0,1,0,2,1,0.014111998126207717,-0.05729805882761503
58,1,2,1,2,0,2,1,0,0.05416430816075576,-1.7223275418466513
59,0,3,5,2,1,2,0,0,0.09154256045907909,-1.2972136312885993
60,0,3,0,0,1,0,2,1,0.014111998126207717,-0.5178381285988378
61,1,1,0,0,0,2,1,1,0.1561493568598364,0.6157989662226336
62,0,1,1,0,1,2,2,0,0.1629418538832393,1.1117651952070273
63,0,3,3,2,1,2,0,0,0.05445708820486795,-1.7931798602729931
64,0,1,0,0,1,0,2,1,0.05410575215193331,0.5449466477962916
65,1,3,1,1,1,0,0,0,0.029765971151406317,-0.6154465086428115
66,1,2,0,0,0,2,3,1,0.02049460308785353,-0.021871899614444048
67,0,3,0,0,1,2,2,1,0.015927234399703314,-0.7303950838778637
68,1,3,4,2,0,2,1,0,0.015478304998731283,-0.8720997207305476
69,0,3,2,0,1,2,2,0,0.016903167880077292,-0.23442885489346996
70,0,2,0,0,1,2,2,1,0.02049460308785353,0.19068505566458185
71,0,3,5,2,0,2,1,0,0.09154256045907909,-0.9429520391568896
72,0,2,0,0,1,2,2,1,0.1434622216149747,-0.5886904470251798
